Muestra, Temperatura BME, Humedad BME, Presion BME, Altitud BME, Temperatura Suelo, Humedad Suelo,Fecha, Latitud, Longitud, Presicion GPS, Altitud GPS 
21,34.02,61.17,1010.56,22.42,30.694,914,2022-12-13T15:43:45,10.815899,-74.170372,104.00,20.50
21,34.01,61.15,1010.56,22.46,30.678,869,2022-12-13T15:43:50,10.815901,-74.170372,104.00,21.10
21,34.01,61.20,1010.56,22.43,30.537,955,2022-12-13T15:43:50,10.815901,-74.170372,104.00,21.10
21,33.98,61.14,1010.51,22.85,30.526,970,2022-12-13T15:43:55,10.815909,-74.170372,85.00,23.10
21,33.97,61.08,1010.52,22.77,30.511,978,2022-12-13T15:44:00,10.815909,-74.170372,85.00,23.60
21,33.96,61.05,1010.52,22.77,30.492,993,2022-12-13T15:44:00,10.815909,-74.170372,85.00,23.60
21,33.81,61.03,1010.29,24.67,30.468,1001,2022-12-13T15:44:05,10.815911,-74.170372,85.00,24.00
21,33.90,60.96,1010.46,23.29,30.339,1008,2022-12-13T15:44:05,10.815911,-74.170372,85.00,24.00
22,33.21,63.44,1010.44,23.39,30.065,893,2022-12-13T15:50:10,10.815925,-74.170425,106.00,22.40
22,33.21,63.13,1010.43,23.49,30.046,894,2022-12-13T15:50:15,10.815924,-74.170425,85.00,22.40
22,33.23,63.27,1010.45,23.32,29.898,889,2022-12-13T15:50:20,10.815922,-74.170433,106.00,22.30
22,33.24,63.31,1010.43,23.53,29.889,899,2022-12-13T15:50:20,10.815922,-74.170433,106.00,22.30
22,33.24,63.17,1010.43,23.50,29.876,903,2022-12-13T15:50:25,10.815920,-74.170425,106.00,21.90
23,33.81,60.82,1010.41,23.70,29.565,1995,2022-12-13T15:51:25,10.815916,-74.170403,108.00,22.40
23,33.76,60.84,1010.34,24.23,29.409,1999,2022-12-13T15:51:30,10.815917,-74.170403,79.00,23.40
23,33.72,60.76,1010.32,24.41,29.212,2019,2022-12-13T15:51:30,10.815917,-74.170403,79.00,23.40
23,33.71,60.83,1010.32,24.40,29.196,2037,2022-12-13T15:51:35,10.815917,-74.170395,79.00,23.00
23,33.69,60.85,1010.32,24.42,28.991,2047,2022-12-13T15:51:40,10.815916,-74.170395,90.00,23.30
23,33.68,60.79,1010.33,24.31,28.966,2069,2022-12-13T15:51:40,10.815916,-74.170395,90.00,23.30
23,33.72,60.90,1010.41,23.68,28.768,2090,2022-12-13T15:51:45,10.815913,-74.170395,79.00,24.10
25,33.52,62.70,1010.38,23.90,29.141,2209,2022-12-13T15:53:00,10.815948,-74.170403,117.00,20.20
25,33.52,62.72,1010.40,23.79,29.114,2210,2022-12-13T15:53:05,10.815947,-74.170395,102.00,20.10
25,33.51,62.85,1010.42,23.59,28.938,2216,2022-12-13T15:53:10,10.815944,-74.170395,119.00,19.70
25,33.51,62.89,1010.42,23.60,28.941,2221,2022-12-13T15:53:10,10.815944,-74.170395,119.00,19.70
25,33.50,63.06,1010.40,23.75,28.947,2215,2022-12-13T15:53:15,10.815943,-74.170387,117.00,19.90
25,33.49,62.98,1010.40,23.72,28.945,2222,2022-12-13T15:53:15,10.815943,-74.170387,117.00,19.90
25,33.44,62.92,1010.33,24.35,28.946,2030,2022-12-13T15:53:20,10.815942,-74.170387,117.00,19.90
25,33.48,62.95,1010.43,23.47,28.805,2222,2022-12-13T15:53:25,10.815941,-74.170387,117.00,20.20
26,33.40,62.58,1010.41,23.65,28.829,750,2022-12-13T15:54:00,10.815945,-74.170372,118.00,16.80
26,33.39,62.63,1010.42,23.60,28.852,768,2022-12-13T15:54:00,10.815945,-74.170372,118.00,16.80
26,33.39,62.85,1010.43,23.48,28.873,781,2022-12-13T15:54:05,10.815940,-74.170364,118.00,16.20
26,33.13,63.04,1010.02,26.96,28.888,786,2022-12-13T15:54:10,10.815937,-74.170364,118.00,14.40
26,33.39,63.09,1010.42,23.58,28.897,790,2022-12-13T15:54:10,10.815937,-74.170364,118.00,14.40
26,33.39,63.20,1010.41,23.69,28.904,799,2022-12-13T15:54:15,10.815936,-74.170364,118.00,13.70
26,33.38,63.34,1010.41,23.71,28.908,803,2022-12-13T15:54:15,10.815936,-74.170364,118.00,13.70
27,33.32,65.39,1010.39,23.88,30.605,2731,2022-12-13T15:55:25,10.815974,-74.170403,90.00,21.50
27,33.36,65.44,1010.39,23.86,30.610,2740,2022-12-13T15:55:25,10.815974,-74.170403,90.00,21.50
27,33.38,65.31,1010.39,23.84,30.609,2741,2022-12-13T15:55:30,10.815971,-74.170403,79.00,20.00
27,33.35,64.68,1010.31,24.52,30.610,2747,2022-12-13T15:55:30,10.815971,-74.170403,79.00,20.00
27,33.37,64.38,1010.30,24.62,30.615,2749,2022-12-13T15:55:35,10.815969,-74.170395,109.00,18.60
27,33.37,63.96,1010.29,24.68,30.616,2750,2022-12-13T15:55:40,10.815968,-74.170395,79.00,17.50
28,33.60,65.36,1010.37,23.99,31.576,3027,2022-12-13T15:56:15,10.815989,-74.170395,118.00,19.00
28,33.61,65.11,1010.36,24.07,31.595,3031,2022-12-13T15:56:20,10.815990,-74.170387,118.00,17.80
28,33.63,65.03,1010.35,24.14,31.747,3034,2022-12-13T15:56:25,10.815992,-74.170387,103.00,18.60
28,33.62,65.02,1010.34,24.25,31.750,3035,2022-12-13T15:56:25,10.815992,-74.170387,103.00,18.60
28,33.64,64.98,1010.35,24.15,0.000,3046,2022-12-13T15:56:30,10.815993,-74.170380,103.00,18.80
28,33.50,64.97,1010.10,26.22,0.000,3047,2022-12-13T15:56:35,10.815994,-74.170380,103.00,18.80
31,34.59,66.84,1010.24,25.05,32.968,3993,2022-12-13T15:58:10,10.816061,-74.170387,86.00,34.40
31,34.65,66.42,1010.25,24.99,32.975,4013,2022-12-13T15:58:15,10.816065,-74.170395,86.00,34.40
31,34.71,66.35,1010.26,24.90,32.981,3999,2022-12-13T15:58:15,10.816065,-74.170395,86.00,34.40
31,34.76,66.49,1010.27,24.81,32.985,4011,2022-12-13T15:58:20,10.816066,-74.170387,86.00,31.30
31,34.86,66.09,1010.33,24.38,32.994,4010,2022-12-13T15:58:25,10.816071,-74.170387,86.00,30.40
34,37.95,64.96,1010.25,24.97,35.738,3186,2022-12-13T16:02:10,10.816011,-74.170326,126.00,14.80
34,38.01,64.37,1010.22,25.26,35.470,3194,2022-12-13T16:02:10,10.816011,-74.170326,126.00,14.80
34,38.07,63.98,1010.24,25.13,35.476,3195,2022-12-13T16:02:15,10.816010,-74.170326,126.00,17.20
34,38.13,63.45,1010.29,24.71,35.318,3194,2022-12-13T16:02:20,10.816010,-74.170334,139.00,13.60
34,38.15,61.87,1010.29,24.65,35.306,3197,2022-12-13T16:02:20,10.816010,-74.170334,139.00,13.60
34,38.16,61.98,1010.30,24.60,35.170,3200,2022-12-13T16:02:25,10.816010,-74.170341,139.00,9.00
35,38.47,59.96,1010.29,24.70,35.567,3947,2022-12-13T16:03:25,10.816085,-74.170357,191.00,31.60
35,38.48,60.25,1010.29,24.65,35.426,3952,2022-12-13T16:03:25,10.816085,-74.170357,191.00,31.60
35,38.50,60.36,1010.28,24.74,35.292,3965,2022-12-13T16:03:30,10.816078,-74.170357,191.00,25.20
35,38.52,60.35,1010.31,24.52,35.065,3976,2022-12-13T16:03:35,10.816066,-74.170357,140.00,20.70
35,38.51,60.42,1010.27,24.86,34.812,3985,2022-12-13T16:03:35,10.816066,-74.170357,140.00,20.70
35,38.53,60.48,1010.24,25.11,34.823,4001,2022-12-13T16:03:40,10.816055,-74.170349,140.00,17.40
35,38.55,59.83,1010.21,25.30,34.766,4016,2022-12-13T16:03:40,10.816055,-74.170349,140.00,17.40
35,38.56,58.68,1010.24,25.08,34.625,4023,2022-12-13T16:03:45,10.816050,-74.170349,126.00,16.20
36,40.69,46.79,1010.21,25.31,34.875,3212,2022-12-13T16:05:15,10.816050,-74.170319,127.00,23.60
36,40.78,47.30,1010.20,25.43,34.682,3219,2022-12-13T16:05:20,10.816036,-74.170311,127.00,21.80
36,40.87,47.13,1010.18,25.59,34.683,3229,2022-12-13T16:05:20,10.816036,-74.170311,127.00,21.80
36,40.96,47.02,1010.18,25.57,34.660,3241,2022-12-13T16:05:25,10.816031,-74.170311,127.00,20.70
36,41.03,47.44,1010.25,25.01,34.488,3242,2022-12-13T16:05:25,10.816031,-74.170311,127.00,20.70
36,41.07,47.92,1010.26,24.92,34.469,3244,2022-12-13T16:05:30,10.816028,-74.170311,127.00,19.80
36,41.10,47.81,1010.23,25.15,34.323,3251,2022-12-13T16:05:35,10.816025,-74.170311,127.00,19.30
36,41.14,47.63,1010.25,25.01,34.308,3259,2022-12-13T16:05:35,10.816025,-74.170311,127.00,19.30
36,41.14,47.12,1010.21,25.36,34.155,3266,2022-12-13T16:05:40,10.816022,-74.170311,142.00,18.40
37,40.16,49.13,1010.20,25.46,35.171,4095,2022-12-13T16:06:35,10.816010,-74.170296,127.00,18.90
37,40.12,49.37,1010.22,25.29,35.010,4095,2022-12-13T16:06:40,10.816002,-74.170296,127.00,17.50
37,40.01,49.39,1010.08,26.47,34.865,4095,2022-12-13T16:06:40,10.816002,-74.170296,127.00,17.50
37,39.99,49.44,1010.08,26.45,34.687,4095,2022-12-13T16:06:45,10.816002,-74.170296,127.00,17.90
37,40.03,50.38,1010.21,25.32,34.659,4095,2022-12-13T16:06:50,10.816003,-74.170296,127.00,18.60
37,40.00,51.12,1010.20,25.40,33.835,4095,2022-12-13T16:06:50,10.816003,-74.170296,127.00,18.60
37,39.80,51.55,1009.91,27.82,34.339,4095,2022-12-13T16:06:55,10.816006,-74.170296,127.00,19.60
37,39.96,51.85,1010.23,25.13,34.317,4095,2022-12-13T16:06:55,10.816006,-74.170296,127.00,19.60
38,39.12,51.11,1010.21,25.36,36.043,2606,2022-12-13T16:08:00,10.816044,-74.170250,145.00,20.20
38,39.03,51.52,1010.13,26.03,35.883,2608,2022-12-13T16:08:05,10.816046,-74.170250,178.00,22.30
38,39.02,51.66,1010.11,26.20,35.866,2597,2022-12-13T16:08:05,10.816046,-74.170250,178.00,22.30
38,39.00,52.05,1010.07,26.53,35.715,2608,2022-12-13T16:08:10,10.816043,-74.170250,127.00,22.50
38,39.02,52.33,1010.12,26.11,35.700,2607,2022-12-13T16:08:10,10.816043,-74.170250,127.00,22.50
38,39.07,52.25,1010.20,25.40,35.678,2608,2022-12-13T16:08:15,10.816040,-74.170258,127.00,22.40
38,39.05,51.97,1010.19,25.50,35.656,2601,2022-12-13T16:08:20,10.816039,-74.170265,128.00,23.20
38,39.03,51.62,1010.19,25.50,35.521,2595,2022-12-13T16:08:20,10.816039,-74.170265,128.00,23.20
39,38.46,51.58,1010.22,25.27,31.818,2128,2022-12-13T16:09:05,10.816032,-74.170273,122.00,22.40
39,38.42,51.28,1010.20,25.40,31.554,2145,2022-12-13T16:09:05,10.816032,-74.170273,122.00,22.40
39,38.38,51.01,1010.17,25.63,31.317,2159,2022-12-13T16:09:10,10.816020,-74.170258,122.00,19.10
39,38.35,50.92,1010.19,25.52,31.097,2166,2022-12-13T16:09:10,10.816020,-74.170258,122.00,19.10
39,38.24,51.20,1010.04,26.72,30.915,2176,2022-12-13T16:09:15,10.816021,-74.170258,153.00,18.00
39,38.21,51.55,1010.04,26.75,30.752,2178,2022-12-13T16:09:20,10.816019,-74.170250,154.00,16.70
39,38.18,51.79,1010.01,26.99,30.613,2191,2022-12-13T16:09:20,10.816019,-74.170250,154.00,16.70
39,38.15,51.92,1010.01,26.98,30.463,2192,2022-12-13T16:09:25,10.816017,-74.170250,154.00,15.60
40,37.14,51.49,1010.20,25.44,30.766,1999,2022-12-13T16:11:20,10.816040,-74.170288,125.00,12.00
40,37.13,51.64,1010.21,25.38,30.763,2015,2022-12-13T16:11:25,10.816029,-74.170280,125.00,16.60
40,37.11,51.84,1010.20,25.43,30.766,2032,2022-12-13T16:11:25,10.816029,-74.170280,125.00,16.60
40,37.11,52.01,1010.22,25.25,30.597,2052,2022-12-13T16:11:30,10.816029,-74.170296,125.00,18.60
40,37.09,52.19,1010.22,25.29,30.725,2064,2022-12-13T16:11:35,10.816025,-74.170296,123.00,22.80
40,37.01,52.41,1010.07,26.52,30.727,2073,2022-12-13T16:11:35,10.816025,-74.170296,123.00,22.80
40,36.99,52.52,1010.05,26.64,30.721,2082,2022-12-13T16:11:40,10.816026,-74.170296,123.00,25.20
40,37.00,52.58,1010.08,26.47,30.589,2093,2022-12-13T16:11:40,10.816026,-74.170296,123.00,25.20
41,35.44,54.56,1010.06,26.57,30.126,1264,2022-12-13T16:18:10,10.816049,-74.170242,129.00,21.10
41,35.43,54.62,1010.06,26.63,30.113,1267,2022-12-13T16:18:10,10.816049,-74.170242,129.00,21.10
41,35.41,54.60,1010.07,26.50,30.093,1286,2022-12-13T16:18:15,10.816046,-74.170242,129.00,21.10
41,35.39,54.52,1010.06,26.57,29.958,1296,2022-12-13T16:18:20,10.816046,-74.170235,92.00,21.20
41,35.38,54.49,1010.06,26.63,29.946,1302,2022-12-13T16:18:20,10.816046,-74.170235,92.00,21.20
41,35.36,54.31,1010.07,26.49,29.929,1309,2022-12-13T16:18:25,10.816046,-74.170235,92.00,21.40
41,35.34,54.17,1010.03,26.81,29.755,1314,2022-12-13T16:18:25,10.816046,-74.170235,92.00,21.40
41,35.32,54.04,1010.06,26.63,29.765,1321,2022-12-13T16:18:30,10.816046,-74.170235,92.00,22.00
41,35.30,54.03,1010.05,26.66,29.747,1325,2022-12-13T16:18:35,10.816047,-74.170235,92.00,22.40
42,34.85,53.84,1010.08,26.39,30.252,1141,2022-12-13T16:19:25,10.816074,-74.170250,88.00,25.90
42,34.82,53.87,1010.05,26.67,30.403,1168,2022-12-13T16:19:25,10.816074,-74.170250,88.00,25.90
42,34.80,53.96,1010.03,26.82,30.409,1195,2022-12-13T16:19:30,10.816076,-74.170250,79.00,27.00
42,34.77,54.01,1010.05,26.66,30.477,1183,2022-12-13T16:19:35,10.816077,-74.170250,83.00,27.50
42,34.75,54.02,1010.06,26.59,30.490,1232,2022-12-13T16:19:35,10.816077,-74.170250,83.00,27.50
42,34.73,54.12,1010.05,26.64,30.504,1243,2022-12-13T16:19:40,10.816079,-74.170250,95.00,27.60
42,34.72,54.22,1010.05,26.70,30.524,1257,2022-12-13T16:19:40,10.816079,-74.170250,95.00,27.60
